Name,Primary Role,Country,Launch Year
37L,Other,Lorraine ,France 
4TP,Tankette,Panstwowe Zaklady Inzynieryjne ,Poland 
6-Ton,Light Tank,"Vickers-Armstrongs, Limited ",United Kingdom 
AB 41,Armored Car,Ansaldo-Fossati ,Italy 
AEC,Armored Car,Associated Equipment Company ,United Kingdom 
AMC 35,Cruiser Tank,Renault S.A. ,France 
AMC 35 S,Cruiser Tank,SOMUA ,France 
AMR 33,Light Tank,Renault S.A. ,France 
AMR 35,Light Tank,Renault S.A. ,France 
AS 42,Armored Car,Fiat ,Italy 
BA-10,Armored Car,Izhoresk Motor Factory ,Russia 
BA-20,Armored Car,Gorkovsky Avtomobilny Zavod ,Russia 
BA-64,Armored Car,Gorkovsky Avtomobilny Zavod ,Russia 
BM-13/8/31 Katyusha,Self-Propelled Rocket Artillery,"Voronezh Komintern Factory, Russia ",Russia 
Bystrokhodny,Cruiser Tank,"Kharkov Komintern Locomotive Factory, Ukraine ",Russia 
C15TA,Armored Car,General Motors Canada ,Canada 
C7P,Artillery Tractor,Panstwowe Zaklady Inzynieryjne ,Poland 
Canon de 194 modƒ¨le GPF,Self-Propelled Gun,Schneider-Creusot ,France 
Carden Loyd,Tankette,"Vickers-Armstrongs, Limited ",United Kingdom 
CCKW,Transport,General Motors Corporation ,United States 
Commercial C8 FAT,Artillery Tractor,Morris-Commercial Cars Limited ,United Kingdom 
Coventry,Armored Car,Humber ,United Kingdom 
Crossley,Armored Car,"Vickers-Armstrongs, Limited ",United Kingdom 
Cruiser Comet I,Cruiser Tank,Leyland Motors Limited ,United Kingdom 
Cruiser Mk I,Cruiser Tank,"Vickers-Armstrongs, Limited ",United Kingdom 
Cruiser Mk I Sentinel,Cruiser Tank,New South Wales Railways ,Australia 
Cruiser Mk II,Cruiser Tank,"Vickers-Armstrongs, Limited ",United Kingdom 
Cruiser Mk III,Cruiser Tank,Nuffield Mechanisation and Aero ,United Kingdom 
Cruiser Mk VI Crusader,Cruiser Tank,Nuffield Mechanisation and Aero ,United Kingdom 
Cruiser Mk VII Cavalier,Cruiser Tank,Nuffield Mechanisation and Aero ,United Kingdom 
Cruiser Mk VIII Centaur/Cromwell,Cruiser Tank,Nuffield Mechanisation and Aero ,United Kingdom 
Daimler Armored Car,Armored Car,"Daimler Motor Company, England, United Kingdom ",United Kingdom 
Daimler Scout Car 'Dingo',Armored Car,"Daimler Motor Company, England, United Kingdom ",United Kingdom 
DUKW,Transport,General Motors Corporation ,United States 
FT-17,Light Tank,Renault S.A. ,France 
G31,Transport,Bƒssing-NAG ,Germany 
H35,Light Tank,Hotchkiss et Cie ,France 
Hornisse/Nashorn,Tank Destroyer,Deutsche-Eisenwerke AG ,Germany 
Humber Armored Car,Armored Car,Rootes Group ,United Kingdom 
Humber Light Reconnaissance Car,Armored Car,Humber ,United Kingdom 
Infantry Mk II Matilda,Infantry Tank,"Vulcan Foundry, Newton-le-Willows, England, UK ",United Kingdom 
Infantry Mk III Valentine,Infantry Tank,"Vickers-Armstrongs, Limited ",United Kingdom 
Infantry Mk IV Churchill,Infantry Tank,"Vauxhall Motors Ltd., Luton, Bedfordshire, England ",United Kingdom 
Iosif Stalin,Heavy Tank,"Kirov Factory, UZTM, Yekaterinburg, Russia ",Russia 
Jagdpanzer 38(t),Tank Destroyer,Ceskomoravskƒ¡ Kolben-Danek ,Czechoslovakia 
Jeep,Other,Willys-Overland Motors/Ford Motor Company ,United States 
K800,Motorcycle,Zƒnder und Apparatebau GmbH ,Germany 
Karl-Gerƒ¤t,Self-Propelled Gun,Rheinmetall AG ,Germany 
Kfz. 305 Blitz,Transport,Adam Opel AG ,Germany 
Kliment Voroshilov,Heavy Tank,"Kirov Plant Kirov Factory, Leningrad, Russia ",Russia 
KS600,Motorcycle,Zƒnder und Apparatebau GmbH ,Germany 
KS750,Motorcycle,Zƒnder und Apparatebau GmbH ,Germany 
Kƒbelwagen,Other,Volkswagen ,Germany 
L6/40,Light Tank,"Fiat Ansaldo, Turin, Italy ",Italy 
Leichter Panzerspƒ¤hwagen,Armored Car,"Eisenwerk Weserhƒtte, Bad Oeynhausen, Germany ",Germany 
Light Amphibious Tank,Tankette,"Vickers-Armstrongs, Limited ",United Kingdom 
Light Mk VII Tetrarch,Light Tank,"Metro-Cammell Carriage & Wagon Co., England, UK ",United Kingdom 
M11/39,Medium Tank,Ansaldo-Fossati ,Italy 
M13/40,Medium Tank,Fiat-Ansaldo ,Italy 
M14/41,Medium Tank,Fiat ,Italy 
M18 Hellcat,Tank Destroyer,"Buick Motor Division, General Motors, Flint, Michigan, United States ",United States 
M2,Light Tank,Rock Island Arsenal ,United States 
M2,Medium Tank,Rock Island Arsenal ,United States 
M20,Motorcycle,Birmingham Small Arms Limited ,United Kingdom 
M22 Locust,Light Tank,Marmon-Herrington Incorporated ,United States 
M26 Pershing/M46,Heavy Tank,Detroit Tank Arsenal and Fisher Tank Arsenal ,United States 
M3A1 Scout Car,Armored Car,White Motor Company ,United States 
M4 High Speed Tractor,Other,"Allis-Chalmers Manufacturing Co., Wisconsin, US ",United States 
M8 Greyhound,Armored Car,Ford Motor Company ,United States 
Medium Mark A Whippet,Medium Tank,William Foster and Company ,United Kingdom 
MWD,Transport,Bedford Vehicles ,United Kingdom 
Panhard Type 178,Armored Car,"Sociƒ¨te Anonyme des Anciennes Establissements Panhard et Levassor, Reims, France ",France 
Panzerjƒ¤ger Tiger (P) 'Elefant',Tank Destroyer,"Porsche Aktiengesellschaft, Germany ",Germany 
PZInz 130,Tankette,Panstwowe Zaklady Inzynieryjne ,Poland 
PzKpfw 38(t),Light Tank,Ceskomoravskƒ¡ Kolben-Danek ,Czechoslovakia 
PzKpfw IV,Medium Tank,"Krupp Grusonwerke AG, Magdeburg, Germany ",Germany 
PzKpfw NbFz V/VI,Heavy Tank,Rheinmetall AG ,Germany 
PzKpfw Tiger Ausf. B 'Tiger II',Heavy Tank,"Henschel und Sohn GmbH, Kassel, Germany ",Germany 
PzKpfw VI Ausf. E 'Tiger I',Heavy Tank,"Henschel und Sohn GmbH, Kassel, Germany ",Germany 
R35,Light Tank,Renault ,France 
R75,Motorcycle,"Bayerische Motoren Werke AG, Mƒnchen, Germany ",Germany 
Ram,Medium Tank,"Canadian Tank Arsenal, Montreal Locomotive Works ",Canada 
RL 45,Motorcycle,Harley-Davidson Incorporated ,United States 
Scout Car S1 (American),Armored Car,Ford Australia ,Australia 
SdKfz 10,Transport,Deutsche Maschinenfabrik AG ,Germany 
SdKfz 138/1 Grille,Self-Propelled Gun,BMM ,Germany 
SdKfz 165 Hummel,Self-Propelled Gun,"Alkett, Berlin & Deutsche Eisenwerke, Duisberg, Germany ",Germany 
SdKfz 2 Kettenkrad,Other,"NSU-D-Rad Vereinigte AG, Neckarsulm, Germany ",Germany 
SdKfz 250,Other,Deutsche Maschinenfabrik AG ,Germany 
SdKfz 251,Transport,Hannoversche Maschinenbau AG ,Germany 
Semovente 105/25,Tank Destroyer,Fiat ,Italy 
Semovente 149/40,Self-Propelled Gun,Fiat ,Italy 
Semovente 47/32,Self-Propelled Gun,Fiat ,Italy 
Semovente 75/18,Self-Propelled Gun,Fiat ,Italy 
Semovente 75/34,Self-Propelled Gun,Fiat ,Italy 
Semovente 90/53,Tank Destroyer,Fiat ,Italy 
Sergei Mironovich Kirov,Heavy Tank,"Kirov Factory No. 100, Leningrad, Russia ",Russia 
Sexton,Self-Propelled Gun,"Canadian Tank Arsenal, Montreal Locomotive Works ",Canada 
Sokƒ³l 1000,Motorcycle,Panstwowe Zaklady Inzynieryjne ,Poland 
Sturmgeschƒtz III,Assault Gun,Daimler-Benz AG ,Germany 
Sturmgeschƒtz IV,Assault Gun,Krupp-Grusonwerk AG ,Germany 
Sturmpanzer,Assault Gun,"Altmƒ¤rkische Kettenwerke, Berlin, Germany ",Germany 
SU-100,Tank Destroyer,Uralmash ,Russia 
SU-152/ISU-152,Self-Propelled Gun,Chelyabinskiy Kirovskiy Zavod ,Russia 
T-18,Light Tank,"Leningrad Obukhov Factory, Leningrad, Russia ",Russia 
T-20 Komsomolets,Artillery Tractor,"Factory No. 37, Moscow, Russia ",Russia 
T-26,Light Tank,"Factory No. 174, Leningrad, Russia ",Russia 
T-28,Medium Tank,"Kirov Plant, Leningrad, Russia ",Russia 
T-34,Medium Tank,Kharkiv Morozov Machine Building Design Bureau ,Russia 
T-35,Heavy Tank,"Malyshev Factory, Kharkov, Ukraine ",Russia 
T-37A,Tankette,"No. 37 Plant, Moscow, Russia ",Russia 
T-40,Light Tank,"Ordzhonikidze Ural Heavy Machine Building Plant, Yekaterinburg, Russia ",Russia 
T-43,Medium Tank,"Uralvagonzavod, Nizhny Tagil, Russia ",Russia 
T-44,Medium Tank,"Factory No. 75, Kharkov, Ukraine ",Russia 
T-50,Infantry Tank,"Factory No. 174, Omsk, Russia ",Russia 
T17 Staghound,Armored Car,"Chevrolet, General Motors Company ",United Kingdom 
T48 Gun Motor Carriage,Self-Propelled Gun,"Diamond-T Motor Company, Chicago, Illinois, US ",United States 
Type 1 Ho-Ha,Transport,Hino Motors ,Japan 
Type 1 Ho-Ki,Transport,Hino Motors ,Japan 
Type 3 Ho-Ni III,Tank Destroyer,Hitachi Limited ,Japan 
Type 4 Ho-Ro,Self-Propelled Gun,Mitsubishi Heavy Industries ,Japan 
Type 89 I-Go,Medium Tank,Mitsubishi Heavy Industries ,Japan 
Type 92 Jyu-Sokosha,Tankette,Ishikawajima Motorcar Manufacturing Company ,Japan 
Type 94 Te-Ke,Tankette,Hino Motors ,Japan 
Type 95 Kurogane,Transport,"Nippon Nainenki Seiko, Tokyo, Japan ",Japan 
Type 97,Motorcycle,Sankyo Company ,Japan 
Type 97 Chi-Ha,Medium Tank,Mitsubishi Heavy Industries ,Japan 
Valentine Archer,Tank Destroyer,"Vickers-Armstrongs, Limited ",United Kingdom 
Valentine Bishop,Self-Propelled Gun,"Vickers-Armstrongs, Limited ",United Kingdom 
W/NG 350,Motorcycle,"Ariel Motors (J.S.) Limited, Selly Oak, Birmingham, United Kingdom ",United Kingdom 
WC54,Transport,Dodge Division of Chrysler Corporation ,United States 
Welbike,Motorcycle,"Excelsior Motor Company, Birmingham, England, United Kingdom ",United Kingdom 
WL,Motorcycle,Harley-Davidson Incorporated ,United States 
ZiS-30,Artillery Tractor,"Zavod imeni Stalina (ZiS) Artillery Factory No. 92, Gorky, Russia ",Russia 
16H,Motorcycle,Norton Motorcycle Company ,United Kingdom 
